zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,31.45,33.9,35.775,34.9,32.875,29.2,24.625,24.175,22.725,19.125,18.375,17.475,16.95,16.15,16.925,17.925,17.425,18.25,17.825,20.5,22.7,24.075,27.05,28.65
1047,km/h,36.7,40.775,43.225,44.05,41.85,28.15,22.3,20.625,19.975,20.200000000000003,19.8,19.15,20.175,17.05,18.4,20.125,20.65,21.025,19.2,23.125,26.725,28.7,32.675,34.175
1054,km/h,42.125,42.35,41.675,42.0,41.099999999999994,40.575,38.075,34.65,33.675,32.0,33.075,32.2,32.5,31.075000000000003,31.125,31.325000000000003,30.625,30.925,30.125,33.550000000000004,36.275,38.45,41.175,42.175
1055,km/h,49.349999999999994,51.15,51.125,51.725,51.175,49.425,49.7,48.150000000000006,43.975,43.55,41.35,40.175,40.775,40.8,41.45,41.675,40.075,39.3,37.075,40.075,43.1,47.325,48.025,48.825
1001044,km/h,42.975,43.675,43.25,44.45,43.825,43.25,42.375,40.775,38.025,33.525,28.95,26.225,23.775000000000002,25.9,27.799999999999997,30.7,32.275,32.4,32.225,36.925,40.45,41.675,43.15,43.375
1001045,km/h,41.875,43.0,42.725,43.925,43.75,40.825,39.775,36.725,31.875,31.175,28.925,25.9,27.375,26.825000000000003,26.375,25.925,26.675,27.450000000000003,29.0,35.75,37.7,39.35,40.575,41.675
1002381,km/h,44.975,45.65,44.95,45.325,45.175,44.725,37.8,31.875,26.975,26.424999999999997,22.3,19.375,17.625,20.525,23.925,27.525,26.825000000000003,31.375,26.825000000000003,31.675,35.7,36.675,40.85,45.025
1002382,km/h,42.325,45.375,44.9,44.775,43.225,42.925,39.275000000000006,37.275,34.75,33.225,31.9,31.5,29.15,26.5,27.075,26.6,25.45,24.175,25.875,31.875,34.425,37.125,38.475,41.725
