zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,38.375,40.3,41.525,43.2,41.525,38.025,33.35,32.8,31.725,27.9,23.975,23.425,24.775,25.65,26.1,27.175,26.475,25.15,25.35,26.225,27.45,27.525,31.375,35.6
1047,km/h,40.7,43.25,43.675,45.55,44.325,32.725,24.75,21.925,21.7,22.175,22.225,21.674999999999997,21.5,21.975,21.375,22.85,21.75,23.625,23.35,25.225,26.55,28.075,34.375,35.425
1054,km/h,47.25,47.375,47.85,49.525,48.025,45.3,43.8,40.05,37.95,36.925,35.35,34.975,35.35,35.175,36.5,37.7,37.6,39.199999999999996,37.125,38.275,39.775,41.4,43.125,44.975
1055,km/h,53.025,54.599999999999994,54.875,56.15,56.425,54.775000000000006,53.95,50.325,48.199999999999996,46.35,43.925,41.599999999999994,43.45,44.575,45.25,45.05,43.525,44.55,43.8,45.05,45.425,46.7,49.05,51.325
1001044,km/h,41.7,40.175,40.4,43.55,43.925,40.875,39.825,37.2,35.325,32.8,30.5,25.4,24.825,25.975,28.725,30.9,29.4,29.549999999999997,31.799999999999997,34.4,36.125,36.95,38.725,39.325
1001045,km/h,42.1,43.224999999999994,42.85,44.225,44.349999999999994,42.95,41.475,38.125,36.825,36.0,34.95,31.974999999999998,30.8,27.525,32.475,29.825000000000003,32.075,32.800000000000004,34.2,36.575,37.824999999999996,38.3,38.95,40.275
1002381,km/h,48.25,49.225,49.575,50.825,49.974999999999994,47.3,44.4,41.3,39.9,34.55,28.425,23.125,21.6,20.6,32.725,35.225,35.275,38.025,36.875,37.75,40.25,41.55,44.175,45.875
1002382,km/h,47.95,48.475,49.725,50.375,50.225,47.625,46.0,43.425,41.175,40.325,39.45,39.0,37.974999999999994,35.2,34.45,32.775,34.625,36.25,35.425,37.224999999999994,39.0,40.475,42.85,44.725
