zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,36.95,40.85,43.7,43.65,44.1,43.325,37.025,34.075,31.975,29.475,28.375,24.025,22.725,24.05,23.5,23.35,23.25,25.825,24.4,32.25,32.175,33.25,38.95,42.075
1047,km/h,35.175,41.325,43.825,44.325,46.725,44.6,39.65,35.15,33.8,28.65,25.65,21.175,20.375,20.025,22.125,22.95,23.6,26.275,26.575,27.975,33.8,36.400000000000006,37.5,42.725
1054,km/h,40.7,43.825,47.625,49.25,50.25,48.975,47.95,40.3,36.375,32.800000000000004,27.225,25.075,20.875,21.4,35.35,37.225,38.65,39.25,38.9,39.85,42.675,44.75,48.175,50.0
1055,km/h,42.65,51.075,55.35,56.2,56.6,56.725,56.35,49.55,48.025,46.8,42.45,37.275,37.925,32.8,38.05,40.925,42.3,42.2,44.4,46.95,48.75,51.925,53.325,55.75
1001044,km/h,36.275,40.05,40.825,43.825,44.6,43.125,42.225,38.05,35.85,33.075,25.25,19.6,15.024999999999999,18.025,25.4,29.85,30.700000000000003,34.125,34.725,36.85,39.125,41.275,42.25,43.55
1001045,km/h,35.574999999999996,42.725,44.275,44.8,44.25,44.05,44.05,35.75,32.974999999999994,30.4,29.675,26.95,25.575,24.65,27.65,30.15,23.325000000000003,28.525,34.525,38.025,40.1,40.425,42.85,43.775
1002381,km/h,43.475,47.15,49.474999999999994,50.0,51.0,49.65,50.5,47.65,45.825,44.075,41.625,39.275,35.85,29.174999999999997,33.35,39.775,40.95,39.9,37.275,40.150000000000006,42.8,45.4,48.175,50.425000000000004
1002382,km/h,40.15,47.3,49.775,50.075,50.349999999999994,49.4,49.125,47.5,45.875,43.025000000000006,38.425,33.375,27.525,27.95,29.525,30.75,32.425000000000004,36.075,37.925,39.275,41.875,44.85,48.0,50.55
