zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1001044,km/h,42.65,44.725,42.075,46.1,44.95,42.175000000000004,39.025,34.725,32.849999999999994,30.9,27.25,26.025,22.825,19.3,24.475,28.025000000000002,30.15,26.775,27.1,29.5,34.224999999999994,36.825,40.55,41.725
1001045,km/h,44.95,45.65,43.225,45.875,44.8,45.8,43.125,37.575,35.0,35.4,34.05,31.8,30.875,26.45,28.5,33.625,34.225,33.825,33.7,35.6,39.0,40.025,41.675,43.5
1002381,km/h,46.275,49.05,50.075,50.95,50.475,47.15,42.325,32.175,26.099999999999998,19.425,22.6,20.7,16.55,22.825,29.325,35.825,36.875,34.4,34.225,33.55,37.825,42.3,45.075,47.575
1002382,km/h,45.5,47.775,47.575,50.125,50.125,48.075,44.675,39.925,36.625,34.4,34.0,31.424999999999997,31.225,24.1,25.775,30.75,29.925,33.425,28.125,32.575,37.125,39.825,42.3,44.9
