zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,31.1,33.125,35.175,36.05,34.9,32.7,28.15,28.45,26.2,21.35,20.075,20.4,20.075,21.175,21.275,21.4,21.175,21.7,19.45,21.15,23.175,24.975,28.95,30.125
1047,km/h,37.375,41.65,41.425,42.15,43.175,31.875,26.075,24.1,23.45,22.725,23.1,23.025,21.625,16.95,21.95,22.35,22.9,23.175,19.25,21.175,28.05,32.075,34.1,35.2
1054,km/h,45.125,42.725,43.0,47.55,47.9,45.5,42.45,38.45,36.8,36.2,34.1,33.775,32.025,31.625,33.425,35.0,35.8,33.675,29.075,33.325,38.5,40.724999999999994,42.099999999999994,41.0
1055,km/h,48.275,31.6,39.575,54.725,56.05,55.8,53.650000000000006,49.65,45.65,44.35,42.5,41.375,41.3,42.025,43.925,43.65,41.225,36.8,28.150000000000002,33.8,42.4,46.3,47.974999999999994,47.325
1001044,km/h,43.2,44.675,45.2,45.675000000000004,44.5,42.775,42.1,36.724999999999994,34.349999999999994,29.05,24.675,22.65,20.25,20.475,22.625,25.55,27.8,30.075,27.9,34.375,37.925,40.525,41.35,41.575
1001045,km/h,44.324999999999996,45.65,45.8,45.7,44.4,44.349999999999994,42.3,39.05,36.525,35.9,35.325,35.8,33.400000000000006,31.625,32.175,34.4,34.0,33.05,30.375,35.2,39.0,41.025,42.0,41.85
1002381,km/h,46.3,46.025,48.3,48.875,48.85,46.85,42.15,36.75,34.1,34.35,35.125,31.175,29.575,27.95,27.400000000000002,31.4,36.15,31.700000000000003,28.5,29.375,38.6,37.675,41.6,39.849999999999994
1002382,km/h,46.325,48.075,49.625,49.125,48.725,47.25,44.075,40.275,37.825,35.75,34.325,33.275,30.45,25.425,28.65,29.6,29.6,29.35,22.475,31.2,36.225,39.75,41.875,42.575
