zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1001044,km/h,40.425,41.225,40.95,42.975,42.45,40.825,39.375,35.525,31.4,28.325,24.6,22.35,20.05,22.275,19.675,20.075,21.625,21.7,23.475,29.575000000000003,33.6,35.35,37.175000000000004,38.925
1001045,km/h,41.625,43.425,42.125,43.7,43.275,42.825,40.9,36.75,34.125,32.425000000000004,31.4,30.025,26.05,24.25,23.675,23.275000000000002,22.825,26.65,28.3,31.225,35.775000000000006,37.775,38.35,40.35
1002381,km/h,39.025,46.6,49.025,49.675,49.95,47.099999999999994,42.5,34.775,28.599999999999998,27.7,26.275,23.875,23.825,19.075,23.9,25.15,22.225,21.825,18.275,21.45,33.15,39.824999999999996,40.85,39.875
1002382,km/h,42.725,47.05,48.775,49.625,49.075,47.125,44.675,37.375,36.2,32.225,32.875,31.275,26.575,26.525,23.7,23.474999999999998,21.925,29.975,29.575000000000003,31.4,36.925,40.0,41.05,41.75
