zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,30.175,32.375,34.025,35.075,32.125,27.625,24.65,24.425,22.925,20.025,18.55,17.025,17.675,17.85,18.75,19.375,19.175,20.025,19.9,20.95,22.25,22.9,25.55,27.15
1047,km/h,38.975,42.375,43.275000000000006,42.85,40.65,27.275,22.125,21.2,20.55,21.025,20.25,19.75,19.725,18.275,18.825,20.625,17.9,19.275,19.4,22.0,24.9,28.025,32.0,33.525
1054,km/h,43.475,43.275,41.7,42.15,41.575,41.325,38.3,34.75,33.825,32.85,32.075,30.975,31.9,26.45,26.175,30.025,31.65,31.225,26.25,31.075,34.95,32.875,33.2,38.525
1055,km/h,51.3,50.95,50.6,51.35,51.675,51.125,50.825,48.2,43.975,42.4,40.375,38.275,34.125,33.275,39.325,34.55,33.1,35.425,32.275,34.475,34.3,40.35,41.15,44.125
1001044,km/h,44.925,44.3,44.175,44.675,45.3,44.325,44.125,40.675,38.55,35.15,31.875,29.35,23.075,29.475,29.224999999999998,31.475,32.4,34.9,33.6,36.3,38.475,39.275000000000006,39.65,40.5
1001045,km/h,43.175,43.849999999999994,44.125,44.5,44.75,43.225,41.225,37.85,34.525,32.25,31.75,31.75,27.4,28.225,28.425,29.675,29.125,31.9,32.575,35.05,36.85,38.025,37.95,41.025
1002381,km/h,46.25,45.95,45.85,45.35,44.074999999999996,44.925,38.275,28.7,26.2,25.075,23.525,20.6,20.8,23.174999999999997,25.85,27.5,27.675,31.525,28.45,29.525,32.875,35.875,38.925,42.875
1002382,km/h,42.0,44.475,43.275,43.349999999999994,41.025,44.25,39.575,36.55,34.825,33.45,32.6,29.975,30.95,28.7,29.05,29.6,28.575,29.1,29.35,32.075,34.55,36.525000000000006,37.975,40.5
