zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,32.1,34.5,36.4,37.525,34.425,34.025,30.825,28.55,26.725,24.150000000000002,21.725,20.5,20.925,22.3,22.65,22.9,23.95,22.875,22.1,24.75,25.125,25.1,29.65,31.700000000000003
1047,km/h,44.4,46.5,48.775,49.825,49.275,39.6,33.0,26.75,24.925,25.7,26.1,24.65,25.075,25.55,28.2,26.925,27.825,28.75,28.25,29.25,34.125,36.4,37.875,39.725
1054,km/h,45.8,46.175,46.925,47.45,47.0,45.7,43.3,40.875,39.075,38.5,37.5,35.2,35.85,36.1,36.575,36.775,37.8,38.25,36.85,37.474999999999994,40.175,41.475,43.8,46.3
1055,km/h,53.325,55.075,54.975,55.325,56.1,55.2,54.475,51.075,48.4,46.675,46.0,44.75,45.475,45.1,46.475,46.325,44.925,44.45,43.425,44.2,46.175,47.975,51.55,52.9
1001044,km/h,44.625,44.925,46.5,46.325,46.375,45.025,43.325,40.45,38.55,35.7,34.85,31.974999999999998,31.4,31.65,34.225,36.5,36.75,36.375,35.05,37.875,40.2,42.425,43.4,44.225
1001045,km/h,44.025,44.325,45.0,45.9,45.4,43.75,43.5,41.725,39.675,39.6,38.625,38.9,37.825,36.325,37.875,37.725,34.675,37.725,36.175,39.325,41.85,42.900000000000006,42.975,44.525
1002381,km/h,46.15,46.575,47.9,48.8,48.35,46.5,42.925,39.775000000000006,36.75,34.55,31.975,30.4,27.6,31.275,32.65,29.799999999999997,32.65,35.25,34.1,35.375,37.8,39.975,43.425,45.199999999999996
1002382,km/h,47.0,48.875,49.25,48.825,48.525,47.3,45.35,42.775,40.6,39.825,38.45,37.375,35.125,32.625,33.875,33.625,32.275000000000006,32.975,30.625,32.275,34.725,38.7,42.625,44.7
