zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,32.325,33.8,35.875,35.625,34.75,30.55,29.45,27.85,25.375,21.925,20.6,19.425,20.125,18.75,20.3,20.575000000000003,20.775,20.5,20.275,21.075,24.3,24.875,27.025,29.35
1047,km/h,40.1,43.175,47.8,48.8,47.375,34.775,29.45,27.025,25.8,25.924999999999997,25.025,24.700000000000003,24.125,20.975,23.05,24.25,25.675,25.375,26.525,27.775,30.55,32.125,36.55,37.125
1054,km/h,46.125,46.625,48.2,48.75,48.625,46.275,42.825,38.125,35.5,35.55,35.15,33.825,33.1,32.4,32.150000000000006,35.075,35.175,35.6,34.4,36.125,38.425,40.3,42.125,43.425
1055,km/h,53.0,54.175,55.425,56.15,56.175,55.075,53.35,48.025,42.525,41.8,39.175,41.8,42.75,41.325,42.224999999999994,43.375,42.925,42.975,40.475,40.675,44.025,46.075,47.475,48.85
1001044,km/h,46.6,47.75,48.125,49.875,49.825,47.525,45.0,41.375,38.9,35.8,30.825,27.925,28.925,26.8,26.35,31.125,34.925,35.65,35.55,37.225,40.849999999999994,42.725,42.925,43.5
1001045,km/h,48.125,48.175,46.7,48.775,50.175,49.0,46.55,42.7,40.65,40.375,39.025,38.575,35.65,34.0,33.3,37.175,36.7,38.825,36.6,40.725,43.325,44.125,44.5,45.15
1002381,km/h,42.849999999999994,45.075,46.95,47.975,47.975,43.375,42.4,36.0,32.05,27.675,29.325,23.75,24.6,25.175,20.875,27.65,30.6,32.025,26.325,30.7,36.55,38.25,39.95,42.775
1002382,km/h,45.325,46.7,48.55,48.9,48.349999999999994,46.875,44.325,40.4,36.5,36.025,34.7,34.35,31.45,27.675,27.6,30.875,31.675,33.0,30.6,34.825,37.65,39.65,41.625,42.75
