zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,38.449999999999996,41.25,42.65,43.025,42.325,39.35,34.9,31.275000000000002,30.450000000000003,27.25,23.15,22.225,23.45,25.225,25.5,23.85,23.35,23.15,23.45,24.95,27.125,28.3,31.25,35.425
1047,km/h,41.125,43.4,44.599999999999994,46.8,43.0,31.75,24.325,22.5,20.95,21.5,20.175,18.375,19.075,16.65,17.525000000000002,17.85,19.5,18.725,20.225,21.85,24.525,27.75,34.575,34.8
1054,km/h,46.775,47.775,48.45,48.975,48.725,45.025,41.95,38.325,35.025,35.5,34.175,32.225,30.85,30.675,28.925,31.325,31.8,33.224999999999994,31.025,33.55,37.9,39.45,40.6,40.175
1055,km/h,53.825,55.2,55.175,56.075,56.225,54.4,53.275,49.125,45.1,44.425,42.05,41.375,41.375,41.675,42.175000000000004,38.575,40.775,43.5,39.525,40.925,43.8,46.2,48.525,44.225
1001044,km/h,41.65,41.875,38.775,41.925,42.325,40.75,39.725,35.9,33.75,29.65,27.125,25.475,19.8,25.15,25.2,25.125,27.4,30.575000000000003,29.725,32.525000000000006,35.0,37.65,38.325,36.85
1001045,km/h,42.675,43.0,43.55,44.599999999999994,44.05,43.25,40.65,37.475,34.625,32.725,28.9,25.25,24.5,26.85,28.675,26.474999999999998,27.825,29.475,31.0,34.025,37.75,39.05,39.5,38.7
1002381,km/h,47.2,49.275,49.95,50.5,49.825,46.7,43.6,37.95,31.15,28.900000000000002,20.5,20.2,16.125,17.6,25.85,29.375,28.875,36.65,34.975,33.225,37.525000000000006,41.675,43.725,44.6
1002382,km/h,47.45,49.175,49.725,49.975,49.375,47.400000000000006,45.3,41.625,39.375,38.475,36.675,34.525,33.75,30.174999999999997,27.85,28.625,29.85,31.65,29.925,32.8,37.3,39.975,42.45,41.5
