zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,33.2,34.54,35.64,35.96,34.72,30.919999999999998,28.72,26.860000000000003,26.619999999999997,22.36,20.46,19.64,19.7,20.3,21.9,21.52,21.54,20.9,20.32,21.32,24.4,24.660000000000004,27.939999999999998,29.76
1047,km/h,42.78,45.12,47.760000000000005,45.06,45.62,34.1,28.619999999999997,26.639999999999997,25.14,25.98,25.0,24.2,22.919999999999998,23.94,26.880000000000003,25.639999999999997,24.380000000000003,24.68,22.66,26.340000000000003,30.660000000000004,33.64,36.14,37.7
1054,km/h,41.760000000000005,38.5,37.96,40.160000000000004,44.94,45.3,42.739999999999995,38.1,36.4,35.6,32.9,31.98,29.52,32.12,31.139999999999997,32.660000000000004,31.639999999999997,32.08,32.239999999999995,34.46,37.78,40.92,41.04,41.88
1055,km/h,52.92,50.4,48.480000000000004,51.44,54.620000000000005,54.620000000000005,52.48,47.8,44.78,44.2,41.980000000000004,38.3,39.980000000000004,39.92,40.94,39.68,40.32,39.5,36.96,36.14,40.339999999999996,43.480000000000004,43.88,47.46
1001044,km/h,45.12,43.64,42.86,43.9,47.160000000000004,47.4,45.8,41.22,39.44,34.42,30.839999999999996,27.939999999999998,27.72,27.18,31.479999999999997,30.68,31.419999999999998,33.239999999999995,32.7,35.08,39.0,39.9,42.260000000000005,42.660000000000004
1001045,km/h,46.339999999999996,44.56,42.9,43.32,48.38,48.3,46.04,42.7,41.019999999999996,40.58,39.38,39.519999999999996,37.6,37.519999999999996,36.08,37.04,34.94,35.32000000000001,35.12,38.38,40.5,41.94,42.06,43.14
1002381,km/h,44.04,44.480000000000004,44.6,45.739999999999995,46.839999999999996,45.260000000000005,42.239999999999995,36.18,30.079999999999995,31.580000000000002,31.46,29.860000000000003,26.939999999999998,25.679999999999996,28.9,31.48,33.22,31.880000000000003,32.019999999999996,33.72,37.260000000000005,39.62,40.18,43.260000000000005
1002382,km/h,45.739999999999995,46.8,45.86,47.660000000000004,48.260000000000005,47.17999999999999,44.32,40.68,37.82,36.0,35.04,31.8,30.02,30.060000000000002,30.119999999999997,32.339999999999996,31.120000000000005,31.119999999999997,30.939999999999998,34.14,37.879999999999995,40.3,40.7,43.38
