zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1001044,km/h,37.875,35.925000000000004,40.075,41.9,42.6,40.475,39.075,32.025,30.725,27.575,23.875,21.375,21.975,21.825,24.025,22.025,22.425,26.65,30.325,33.625,36.875,33.225,35.3,38.775
1001045,km/h,37.0,35.725,41.225,42.525,44.975,44.875,42.15,34.075,31.25,30.125,28.475,26.55,27.4,24.625,23.5,23.825,19.325,20.425,28.725,35.6,37.525,34.6,37.9,39.75
1002381,km/h,39.825,43.5,45.35,48.975,50.075,49.3,47.95,46.85,43.725,42.125,39.175,35.25,30.525000000000002,27.299999999999997,34.775,37.825,35.1,34.2,35.95,39.375,41.925,40.275,43.45,45.225
1002382,km/h,38.3,38.15,46.35,49.0,50.3,49.4,48.4,44.775,41.974999999999994,39.975,37.025,28.05,25.95,21.075,25.5,29.25,30.6,31.5,34.15,38.925,40.825,34.5,40.575,44.425
