zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,27.375,30.85,33.7,34.175,32.875,29.725,25.775,22.35,19.35,18.125,16.75,16.275,14.675,15.825,17.45,17.075,17.65,19.4,19.45,22.85,23.1,24.025,25.725,28.725
1047,km/h,38.275,41.075,40.775,41.675,42.675,41.8,34.325,26.9,20.7,19.075,17.075,14.625,15.675,15.524999999999999,20.675,20.275,21.0,24.6,23.5,25.75,31.349999999999998,33.425,33.55,37.225
1054,km/h,41.825,40.725,40.525,40.3,35.125,37.4,38.775,28.7,27.425,25.9,24.075,24.625,25.1,24.625,27.549999999999997,31.6,33.75,34.925,33.5,35.4,37.375,38.75,41.65,42.85
1055,km/h,49.3,49.425,49.075,49.225,50.675,51.0,46.525,36.45,34.6,33.325,30.75,26.875,23.6,20.924999999999997,33.2,39.325,40.325,41.2,39.725,38.875,43.05,43.95,47.25,48.125
1001044,km/h,43.075,41.675,44.275,45.125,44.5,40.25,39.1,29.725,26.325000000000003,28.125,27.974999999999998,26.775,26.2,28.2,31.425,33.15,34.1,38.275,37.625,39.975,42.900000000000006,42.475,41.95,43.475
1001045,km/h,42.275,41.95,43.925,45.175,44.9,42.85,38.925,28.875,21.7,17.975,18.8,16.65,15.875,17.525,28.8,30.075,24.125,27.625,32.425,37.125,39.125,40.9,42.8,43.65
1002381,km/h,43.45,42.574999999999996,43.075,45.075,45.55,45.65,44.575,38.425,37.7,34.975,30.25,26.525,22.3,18.125,30.575000000000003,34.224999999999994,34.1,34.5,33.35,35.65,37.8,40.525,45.3,46.05
1002382,km/h,40.175,41.575,42.725,44.225,43.325,44.8,42.65,35.125,30.7,29.9,27.375,25.425,23.75,25.75,23.85,26.2,27.275,27.6,28.475,32.95,36.55,38.8,41.85,44.0
