zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,29.1,32.35,33.425,34.425,35.675,32.575,30.925,25.75,22.925,24.125,22.175,18.075,16.525,16.7,20.425,21.625,21.225,23.675,22.775,27.725,28.9,29.525,30.9,31.75
1047,km/h,38.025,40.425,45.35,46.975,49.4,47.575,43.175,37.925,37.0,34.25,32.375,29.275,28.575,28.6,26.275,26.65,27.3,29.375,29.025,30.549999999999997,37.25,39.275,41.65,44.425
1054,km/h,42.575,44.2,45.4,46.25,46.7,46.8,45.125,35.2,28.725,27.55,26.2,22.475,24.475,27.65,36.150000000000006,37.775,38.35,38.4,37.525,38.75,40.825,43.275,46.375,47.975
1055,km/h,49.5,51.0,52.825,53.775,54.75,55.475,54.375,46.95,40.75,42.425,40.325,35.825,37.2,29.05,41.875,41.325,42.6,43.375,44.175,45.775,47.225,50.225,53.6,54.5
1001044,km/h,41.875,43.65,44.625,43.675,44.525,44.05,41.5,35.575,31.525,31.65,29.05,26.3,24.375,26.75,32.6,35.525000000000006,36.3,36.8,38.025,40.225,42.675,44.425,46.575,47.925
1001045,km/h,43.625,44.85,46.65,47.775,47.375,46.975,44.85,34.425000000000004,31.35,28.175,33.875,31.525,27.925,26.575000000000003,34.425,35.625,30.799999999999997,34.525,39.2,43.1,44.575,45.25,47.025,47.875
1002381,km/h,35.975,36.675,44.45,46.45,47.025,47.375,46.8,43.275,41.725,39.25,36.15,31.65,28.950000000000003,18.525,34.475,38.175,33.725,32.575,35.775,33.15,40.05,42.4,45.9,46.9
1002382,km/h,42.3,43.425,45.4,47.025,47.85,47.925,47.2,43.525,41.65,40.8,37.175,33.225,30.625,32.7,33.35,33.95,34.275000000000006,33.95,36.425,38.05,40.925,43.9,47.325,48.225
