zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1001044,km/h,40.125,41.125,41.95,42.875,43.375,40.75,39.075,36.5,33.75,31.3,25.9,20.25,19.175,19.450000000000003,21.525,22.4,24.7,27.4,27.325,32.875,36.825,38.225,40.0,40.4
1001045,km/h,42.6,44.025000000000006,43.475,43.025,44.8,44.15,41.025,37.675,34.925,34.675,32.225,29.725,27.95,25.3,29.15,28.6,28.4,30.675000000000004,33.4,36.475,38.4,40.1,40.875,41.675
1002381,km/h,46.875,48.675,49.175,49.675,50.025,46.925,42.824999999999996,36.099999999999994,31.724999999999998,30.75,26.725,16.825,19.075000000000003,17.95,26.025,35.175,31.700000000000003,32.425,33.6,37.925,40.75,42.9,42.35,46.375
1002382,km/h,45.475,49.075,48.775,49.5,49.35,47.525,44.575,40.55,37.375,33.45,32.775,31.25,29.0,29.05,29.375,28.375,29.3,32.55,30.2,32.7,37.05,40.5,40.425,44.25
