zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,32.5,33.32,35.559999999999995,35.44,36.1,33.12,32.94,26.28,24.06,22.0,17.46,13.24,13.02,9.739999999999998,14.16,18.060000000000002,18.919999999999998,17.8,18.46,26.7,28.76,30.060000000000002,30.439999999999998,32.760000000000005
1047,km/h,42.86,44.660000000000004,46.480000000000004,48.519999999999996,49.08,47.82,40.42,32.68,29.939999999999998,28.46,21.259999999999998,19.9,21.380000000000003,19.98,23.24,24.72,24.740000000000002,26.68,26.4,28.160000000000004,35.62,37.260000000000005,39.339999999999996,44.980000000000004
1054,km/h,41.78,40.8,41.46,44.1,45.1,45.06,43.88,38.14,33.2,29.7,23.759999999999998,21.28,25.119999999999997,28.22,32.8,34.72,32.88,33.980000000000004,33.519999999999996,37.88,39.72,39.6,40.38,42.96
1055,km/h,42.42,27.82,30.54,49.22,52.4,53.1,53.0,48.7,46.12,44.1,39.62,32.64,33.339999999999996,24.619999999999997,39.36,39.260000000000005,40.28,37.1,39.44,43.8,45.0,47.760000000000005,48.78,48.160000000000004
1001044,km/h,43.2,44.32,45.58,46.5,45.660000000000004,43.1,44.1,37.12,32.0,25.339999999999996,24.16,25.54,27.18,25.36,30.26,31.1,31.98,32.78,33.339999999999996,38.279999999999994,41.22,40.339999999999996,40.36,43.42
1001045,km/h,45.3,46.14,47.260000000000005,48.94,48.28,47.46,45.14,35.04,34.92,33.0,29.98,28.860000000000003,30.76,31.04,32.96,36.82000000000001,32.220000000000006,32.339999999999996,37.36,42.8,44.7,44.58,44.62,47.42
1002381,km/h,44.56,45.019999999999996,46.8,47.22,47.56,46.44,45.94,44.06,41.22,39.5,37.04,32.82,26.68,23.060000000000002,31.22,35.44,35.6,33.660000000000004,34.0,37.58,39.839999999999996,41.54,43.239999999999995,46.22
1002382,km/h,43.7,44.1,46.019999999999996,46.019999999999996,45.88,46.06,44.04,42.12,40.86,40.4,35.86,31.24,35.08,32.760000000000005,31.5,33.42,31.560000000000002,32.06,35.22,37.9,40.239999999999995,41.32000000000001,43.160000000000004,45.22
