zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1001044,km/h,45.36,44.86,41.2,46.6,48.0,43.739999999999995,42.019999999999996,37.1,35.06,31.76,28.8,24.22,21.919999999999998,18.259999999999998,21.5,22.94,23.66,25.44,25.9,29.139999999999997,33.32,37.58,42.06,41.54
1001045,km/h,45.239999999999995,46.04,44.1,45.46,46.2,46.0,42.68,38.64,37.08,36.82,33.62,31.8,28.02,25.14,28.919999999999998,28.28,31.1,32.64,32.5,36.12,38.62,40.54,41.839999999999996,43.739999999999995
1002381,km/h,48.12,49.62,50.0,50.96,50.239999999999995,46.88,44.54,38.160000000000004,33.08,32.64,28.660000000000004,25.04,18.380000000000003,18.240000000000002,22.48,30.339999999999996,31.74,34.14,33.38,33.6,36.96,42.54,45.22,47.760000000000005
1002382,km/h,47.2,49.32,50.06,51.4,51.339999999999996,48.62,46.160000000000004,42.58,38.92,38.88,37.019999999999996,34.44,32.019999999999996,28.339999999999996,29.259999999999998,32.5,33.82,33.4,33.28,36.160000000000004,38.14,41.36,43.660000000000004,45.94
