zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,26.9,32.1,32.5,35.8,34.4,28.9,26.2,23.4,12.6,14.8,20.0,16.0,16.0,16.4,18.3,19.2,18.4,20.9,19.9,21.9,23.4,25.4,26.4,28.2
1047,km/h,35.2,40.9,40.7,43.0,41.6,36.0,27.5,26.1,10.6,15.2,18.2,17.2,16.5,13.4,19.7,19.9,20.3,24.5,23.5,24.7,30.5,32.8,34.3,36.1
1054,km/h,40.6,40.3,41.0,41.4,41.1,42.3,39.4,30.6,28.8,25.8,22.3,19.4,23.1,25.0,24.7,23.6,23.8,17.5,28.8,34.9,22.3,23.0,17.9,22.3
1055,km/h,47.8,51.0,50.9,52.4,52.6,51.0,49.1,44.9,38.0,30.6,33.7,24.3,23.2,22.1,14.9,24.1,24.1,28.5,25.7,26.0,27.5,19.1,19.9,38.7
1001044,km/h,40.6,42.6,43.8,44.3,44.2,42.1,36.2,11.1,14.8,13.5,31.2,28.2,27.2,25.9,26.8,25.6,26.9,29.2,28.5,33.7,35.5,29.0,24.3,33.5
1001045,km/h,42.7,42.2,45.3,45.6,47.1,42.9,40.6,31.9,26.2,23.6,21.8,21.9,21.2,20.6,29.9,30.9,28.0,27.5,32.3,36.5,39.1,37.7,35.4,42.3
1002381,km/h,36.0,42.7,45.0,47.1,46.3,46.9,42.6,39.3,39.0,40.4,37.1,34.0,31.8,32.8,35.6,37.7,36.5,36.7,33.5,35.2,36.8,39.8,40.4,39.4
1002382,km/h,36.6,41.1,44.0,45.1,44.2,43.1,40.1,37.1,35.7,36.2,33.5,28.7,28.5,23.0,23.7,24.1,28.6,28.1,29.8,34.0,35.1,37.2,37.4,40.9
