zone_id,unit,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1045,km/h,29.619999999999997,33.58,34.660000000000004,34.660000000000004,33.660000000000004,30.419999999999998,29.8,27.560000000000002,27.54,24.02,21.380000000000003,20.98,21.740000000000002,22.6,22.96,23.759999999999998,23.54,21.94,20.48,21.119999999999997,23.0,23.880000000000003,28.080000000000002,29.139999999999997
1047,km/h,43.96,47.2,47.260000000000005,47.92,47.339999999999996,34.58,28.160000000000004,25.28,24.02,24.84,24.44,24.1,23.240000000000002,23.7,25.58,27.6,26.139999999999997,23.78,21.139999999999997,22.34,28.04,31.139999999999997,36.46,37.4
1054,km/h,45.58,46.58,47.94,48.519999999999996,47.14,45.72,43.2,40.54,39.839999999999996,38.660000000000004,36.760000000000005,35.0,35.18,36.22,37.459999999999994,37.56,37.019999999999996,36.42,33.56,35.0,37.36,39.2,41.1,43.96
1055,km/h,53.06,54.96,55.379999999999995,55.94,56.239999999999995,56.32000000000001,54.54,51.52,50.3,49.260000000000005,46.6,43.88,45.2,45.94,47.28,47.36,45.1,41.78,39.739999999999995,40.54,42.94,44.42,47.72,50.06
1001044,km/h,42.980000000000004,44.78,45.04,45.18,44.8,43.28,42.1,39.6,37.760000000000005,34.86,32.260000000000005,29.52,28.160000000000004,33.019999999999996,34.660000000000004,35.92,34.480000000000004,33.22,30.7,32.6,36.22,38.660000000000004,40.08,41.36
1001045,km/h,42.94,43.0,45.440000000000005,45.14,45.06,44.06,43.019999999999996,40.519999999999996,39.339999999999996,37.82,36.2,34.980000000000004,33.239999999999995,35.660000000000004,35.760000000000005,34.44,33.760000000000005,33.46,33.019999999999996,34.8,38.58,40.339999999999996,40.46,40.08
1002381,km/h,45.92,46.739999999999995,48.0,50.17999999999999,49.0,46.980000000000004,43.86,41.4,36.760000000000005,35.4,32.239999999999995,30.3,30.080000000000002,33.660000000000004,33.42,33.2,33.019999999999996,35.620000000000005,33.1,31.3,35.18,37.12,40.519999999999996,43.88
1002382,km/h,46.5,48.7,48.7,48.980000000000004,49.08,47.72,45.5,43.239999999999995,41.04,40.22,38.36,36.88,34.86,32.839999999999996,34.96,33.980000000000004,32.3,27.52,22.259999999999998,22.7,22.119999999999997,22.9,27.580000000000002,40.879999999999995
